superintendencia,regiao_administrativa,localidade,descricao_area_bairro,codigo_sinasc_sim_sinan_online,codigo_sinannet,pagina_pdf,localidade_norm,ra_norm,texto_busca_norm,texto_busca_sem_espaco,is_ignorado,fonte,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SUPERINTENDÊNCIA CENTRO-SUL,ARNIQUEIRA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SUPERINTENDÊNCIA CENTRAL,CRUZEIRO,SHCES,Cruzeiro Novo (SHCES), SRI (Setor Residencial Interno).,11010,158,1,SHCES,CRUZEIRO,CRUZEIRO SHCES CRUZEIRO NOVO SHCES SRI SETOR RESIDENCIAL INTERNO,CRUZEIROSHCESCRUZEIRONOVOSHCESSRISETORRESIDENCIALINTERNO,NÃO,Tabela_Localizacao_CODEPLAN_2020.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SUPERINTENDÊNCIA CENTRAL,CRUZEIRO,SRES,Cruzeiro Velho (SRES).,11020,159,1,SRES,CRUZEIRO,CRUZEIRO SRES CRUZEIRO VELHO SRES,CRUZEIROSRESCRUZEIROVELHOSRES,NÃO,Tabela_Localizacao_CODEPLAN_2020.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SUPERINTENDÊNCIA CENTRAL,CRUZEIRO,IGN CRUZEIRO,,11999,160,1,IGN CRUZEIRO,CRUZEIRO,CRUZEIRO IGN CRUZEIRO,CRUZEIROIGNCRUZEIRO,SIM,Tabela_Localizacao_CODEPLAN_2020.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SUPERINTENDÊNCIA CENTRAL,LAGO NORTE,Granja do Torto,Torto. Setor Invernada do Torto (SIT). Parque de Exposição Agropecuária do Torto. Granja Modelo do Torto,18010,152,1,GRANJA DO TORTO,LAGO NORTE,LAGO NORTE GRANJA DO TORTO TORTO SETOR INVERNADA DO TORTO SIT PARQUE DE EXPOSICAO AGROPECUARIA DO TORTO GRANJA MODELO DO TORTO,LAGONORTEGRANJADOTORTOTORTOSETORINVERNADADOTORTOSITPARQUEDEEXPOSICAOAGROPECUARIADOTORTOGRANJAMODELODOTORTO,NÃO,Tabela_Localizacao_CODEPLAN_2020.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SUPERINTENDÊNCIA CENTRAL,LAGO NORTE,Lago Norte/Taquari,Setor Habitacional Taquari(SHTQ). Núcleo Rural Olhos D'Água. Setorde Postose Motéis(SPMN). Núcleo Rural Córregodo Urubu. Condomínio Privê II. Academia de Polícia. Rural Remanescente do Lago Norte.,18020,153,1,LAGO NORTE TAQUARI,LAGO NORTE,LAGO NORTE LAGO NORTE TAQUARI SETOR HABITACIONAL TAQUARI SHTQ NUCLEO RURAL OLHOS D AGUA SETORDE POSTOSE MOTEIS SPMN NUCLEO RURAL CORREGODO URUBU CONDOMINIO PRIVE II ACADEMIA DE POLICIA RURAL REMANESCENTE DO LAGO NORTE,LAGONORTELAGONORTETAQUARISETORHABITACIONALTAQUARISHTQNUCLEORURALOLHOSDAGUASETORDEPOSTOSEMOTEISSPMNNUCLEORURALCORREGODOURUBUCONDOMINIOPRIVEIIACADEMIADEPOLICIARURALREMANESCENTEDOLAGONORTE,NÃO,Tabela_Localizacao_CODEPLAN_2020.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SUPERINTENDÊNCIA CENTRAL,LAGO NORTE,Mansões Lago Norte,Setorde Mansões Lago Norte(SMLN). Condomínio Privê I. Núcleo Rural Córrego Jerivá. Núcleo Rural Valedo Palha. Núcleo Rural Tamanduá B. Núcleo Rural Capoeira do Bálsamo. Fazenda Nossa Senhora da Aparecida.,18030,154,1,MANSOES LAGO NORTE,LAGO NORTE,LAGO NORTE MANSOES LAGO NORTE SETORDE MANSOES LAGO NORTE SMLN CONDOMINIO PRIVE I NUCLEO RURAL CORREGO JERIVA NUCLEO RURAL VALEDO PALHA NUCLEO RURAL TAMANDUA B NUCLEO RURAL CAPOEIRA DO BALSAMO FAZENDA NOSSA SENHORA DA APARECIDA,LAGONORTEMANSOESLAGONORTESETORDEMANSOESLAGONORTESMLNCONDOMINIOPRIVEINUCLEORURALCORREGOJERIVANUCLEORURALVALEDOPALHANUCLEORURALTAMANDUABNUCLEORURALCAPOEIRADOBALSAMOFAZENDANOSSASENHORADAAPARECIDA,NÃO,Tabela_Localizacao_CODEPLAN_2020.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SUPERINTENDÊNCIA CENTRAL,LAGO NORTE,Península do Lago Norte,SHIN: QI 01 a 16 e QL 01 a 16, Centro de Atividades (CA).,18040,155,1,PENINSULA DO LAGO NORTE,LAGO NORTE,LAGO NORTE PENINSULA DO LAGO NORTE SHIN QI 01 A 16 E QL 01 A 16 CENTRO DE ATIVIDADES CA,LAGONORTEPENINSULADOLAGONORTESHINQI01A16EQL01A16CENTRODEATIVIDADESCA,NÃO,Tabela_Localizacao_CODEPLAN_2020.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SUPERINTENDÊNCIA CENTRAL,LAGO NORTE,IGN Lago Norte,,18999,156,1,IGN LAGO NORTE,LAGO NORTE,LAGO NORTE IGN LAGO NORTE,LAGONORTEIGNLAGONORTE,SIM,Tabela_Localizacao_CODEPLAN_2020.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SUPERINTENDÊNCIA CENTRAL,PLANO PILOTO,PLANO PILOTO,,Cod,,1,PLANO PILOTO,PLANO PILOTO,LAGO NORTE PLANO PILOTO,LAGONORTEPLANOPILOTO,NÃO,Tabela_Localizacao_CODEPLAN_2020.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
